iter	Passed	Remaining
0	357	356800
1	366	182716
2	376	125181
3	383	95426
4	395	78679
5	411	68091
6	423	60096
7	435	54003
8	444	48967
9	448	44431
10	455	40914
11	459	37828
12	466	35410
13	468	33011
14	471	30956
15	473	29128
16	479	27746
17	482	26337
18	484	25038
19	487	23910
20	490	22876
21	492	21885
22	496	21099
23	499	20333
24	503	19636
25	505	18936
26	507	18283
27	509	17673
28	510	17104
29	512	16571
30	517	16172
31	520	15743
32	522	15310
33	524	14897
34	526	14508
35	528	14142
36	530	13804
37	533	13504
38	536	13209
39	538	12920
40	540	12638
41	542	12371
42	545	12145
43	547	11904
44	550	11674
45	555	11516
46	558	11326
47	561	11130
48	564	10956
49	566	10770
50	568	10587
51	574	10466
52	577	10323
53	581	10183
54	585	10053
55	587	9911
56	592	9801
57	595	9666
58	597	9534
59	601	9420
60	604	9299
61	606	9174
62	610	9080
63	614	8981
64	618	8894
65	621	8792
66	623	8684
67	627	8598
68	631	8520
69	633	8418
70	636	8325
71	638	8229
72	641	8147
73	643	8056
74	645	7966
75	650	7911
76	654	7843
77	657	7773
78	660	7703
79	663	7626
80	665	7549
81	669	7490
82	672	7427
83	674	7357
84	677	7290
85	679	7220
86	681	7153
87	683	7085
88	688	7043
89	690	6986
90	693	6925
91	696	6869
92	698	6814
93	701	6761
94	703	6703
95	707	6666
96	710	6615
97	712	6559
98	714	6500
99	717	6455
100	719	6407
101	722	6357
102	724	6307
103	728	6276
104	731	6236
105	734	6193
106	736	6150
107	739	6111
108	742	6072
109	751	6084
110	754	6045
111	757	6006
112	760	5968
113	764	5938
114	770	5927
115	773	5891
116	776	5856
117	779	5829
118	782	5793
119	788	5778
120	790	5744
121	794	5715
122	796	5681
123	799	5647
124	802	5614
125	807	5599
126	810	5570
127	812	5538
128	815	5506
129	818	5476
130	821	5448
131	826	5435
132	829	5405
133	832	5378
134	834	5349
135	838	5326
136	841	5299
137	846	5289
138	851	5277
139	854	5250
140	858	5229
141	861	5207
142	863	5171
143	869	5168
144	872	5143
145	875	5118
146	877	5092
147	880	5068
148	886	5064
149	893	5064
150	937	5269
151	939	5242
152	944	5226
153	951	5224
154	955	5207
155	959	5189
156	963	5173
157	978	5216
158	981	5194
159	986	5181
160	988	5152
161	989	5121
162	993	5100
163	995	5076
164	998	5054
165	1001	5029
166	1003	5005
167	1008	4995
168	1011	4973
169	1028	5019
170	1030	4997
171	1032	4968
172	1036	4957
173	1039	4934
174	1042	4915
175	1047	4903
176	1050	4882
177	1053	4865
178	1057	4849
179	1061	4833
180	1063	4810
181	1091	4906
182	1095	4889
183	1097	4869
184	1099	4843
185	1102	4825
186	1107	4814
187	1110	4795
188	1113	4776
189	1116	4759
190	1119	4740
191	1122	4723
192	1137	4757
193	1140	4738
194	1141	4713
195	1143	4690
196	1145	4669
197	1148	4651
198	1149	4628
199	1151	4604
200	1154	4589
201	1158	4577
202	1181	4638
203	1188	4636
204	1191	4618
205	1193	4599
206	1195	4581
207	1198	4563
208	1201	4546
209	1204	4532
210	1207	4516
211	1211	4501
212	1212	4481
213	1215	4465
214	1217	4445
215	1218	4424
216	1222	4411
217	1223	4390
218	1226	4373
219	1227	4352
220	1229	4334
221	1230	4312
222	1232	4293
223	1233	4273
224	1234	4253
225	1235	4232
226	1236	4211
227	1238	4193
228	1240	4175
229	1241	4155
230	1243	4140
231	1244	4119
232	1245	4099
233	1246	4079
234	1248	4063
235	1249	4045
236	1250	4025
237	1252	4008
238	1252	3988
239	1254	3971
240	1255	3955
241	1256	3936
242	1257	3916
243	1260	3904
244	1261	3885
245	1261	3867
246	1262	3848
247	1262	3829
248	1263	3810
249	1264	3792
250	1265	3777
251	1267	3761
252	1268	3744
253	1269	3729
254	1272	3717
255	1274	3703
256	1276	3691
257	1277	3674
258	1279	3660
259	1279	3643
260	1280	3626
261	1282	3613
262	1283	3596
263	1284	3580
264	1286	3567
265	1288	3554
266	1290	3541
267	1290	3525
268	1292	3512
269	1294	3499
270	1295	3484
271	1298	3476
272	1300	3463
273	1301	3449
274	1303	3436
275	1305	3424
276	1307	3412
277	1309	3401
278	1311	3389
279	1313	3378
280	1316	3367
281	1318	3356
282	1320	3345
283	1321	3330
284	1322	3319
285	1324	3307
286	1326	3296
287	1328	3285
288	1331	3274
289	1331	3260
290	1333	3249
291	1335	3238
292	1338	3229
293	1341	3221
294	1343	3210
295	1344	3196
296	1345	3184
297	1347	3174
298	1349	3164
299	1352	3154
300	1354	3145
301	1360	3144
302	1363	3135
303	1363	3122
304	1364	3109
305	1367	3100
306	1369	3091
307	1371	3082
308	1374	3073
309	1376	3063
310	1380	3058
311	1383	3051
312	1384	3039
313	1387	3031
314	1390	3023
315	1393	3017
316	1397	3011
317	1401	3005
318	1405	3000
319	1408	2993
320	1411	2984
321	1415	2980
322	1419	2974
323	1421	2966
324	1424	2958
325	1427	2950
326	1429	2942
327	1438	2946
328	1442	2942
329	1445	2934
330	1448	2926
331	1452	2923
332	1455	2915
333	1458	2908
334	1461	2900
335	1463	2893
336	1466	2885
337	1471	2882
338	1474	2875
339	1477	2867
340	1479	2859
341	1482	2852
342	1485	2844
343	1491	2844
344	1495	2838
345	1498	2831
346	1501	2825
347	1504	2818
348	1507	2811
349	1512	2808
350	1515	2801
351	1516	2791
352	1518	2782
353	1520	2774
354	1522	2765
355	1524	2757
356	1526	2749
357	1530	2744
358	1534	2740
359	1539	2736
360	1541	2729
361	1543	2720
362	1546	2713
363	1549	2708
364	1552	2700
365	1555	2693
366	1557	2686
367	1559	2679
368	1561	2670
369	1563	2661
370	1564	2653
371	1568	2647
372	1570	2640
373	1572	2632
374	1574	2624
375	1576	2615
376	1577	2606
377	1579	2598
378	1581	2591
379	1583	2583
380	1587	2578
381	1588	2570
382	1590	2562
383	1591	2553
384	1593	2545
385	1595	2538
386	1597	2530
387	1599	2522
388	1600	2514
389	1602	2506
390	1605	2501
391	1607	2493
392	1608	2484
393	1610	2477
394	1612	2469
395	1614	2461
396	1615	2454
397	1617	2446
398	1619	2438
399	1620	2431
400	1622	2423
401	1624	2417
402	1626	2409
403	1628	2402
404	1630	2395
405	1632	2388
406	1634	2381
407	1635	2373
408	1637	2365
409	1638	2358
410	1643	2354
411	1645	2348
412	1647	2340
413	1648	2333
414	1650	2326
415	1651	2318
416	1653	2311
417	1654	2304
418	1656	2296
419	1658	2289
420	1661	2285
421	1663	2278
422	1664	2270
423	1666	2263
424	1668	2256
425	1669	2249
426	1671	2243
427	1673	2236
428	1675	2229
429	1676	2222
430	1679	2217
431	1681	2210
432	1682	2203
433	1684	2197
434	1686	2190
435	1687	2183
436	1689	2176
437	1691	2169
438	1692	2162
439	1694	2156
440	1695	2149
441	1699	2145
442	1701	2139
443	1703	2132
444	1704	2126
445	1706	2119
446	1707	2112
447	1709	2106
448	1711	2099
449	1712	2093
450	1714	2086
451	1717	2082
452	1719	2076
453	1721	2070
454	1723	2064
455	1742	2078
456	1752	2082
457	1763	2087
458	1772	2089
459	1789	2100
460	1796	2100
461	1813	2111
462	1830	2122
463	1842	2128
464	1846	2124
465	1848	2118
466	1852	2114
467	1855	2109
468	1858	2103
469	1861	2099
470	1864	2093
471	1867	2088
472	1868	2082
473	1870	2075
474	1872	2069
475	1874	2063
476	1875	2056
477	1880	2053
478	1882	2047
479	1884	2041
480	1886	2035
481	1887	2028
482	1889	2022
483	1890	2015
484	1892	2009
485	1894	2003
486	1897	1998
487	1899	1992
488	1901	1986
489	1903	1980
490	1905	1975
491	1907	1969
492	1909	1963
493	1910	1957
494	1912	1950
495	1913	1944
496	1917	1940
497	1918	1934
498	1920	1928
499	1922	1922
500	1923	1916
501	1925	1909
502	1926	1903
503	1928	1897
504	1930	1892
505	1932	1886
506	1935	1882
507	1937	1876
508	1938	1869
509	1940	1863
510	1941	1857
511	1943	1852
512	1945	1846
513	1946	1840
514	1948	1834
515	1949	1829
516	1951	1823
517	1954	1818
518	1956	1813
519	1958	1807
520	1960	1802
521	1962	1797
522	1964	1791
523	1966	1786
524	1968	1781
525	1970	1775
526	1975	1773
527	1977	1767
528	1979	1762
529	1981	1757
530	1983	1752
531	1986	1747
532	1988	1742
533	1993	1739
534	1996	1735
535	1999	1730
536	2002	1726
537	2005	1722
538	2007	1717
539	2009	1711
540	2013	1708
541	2015	1703
542	2017	1698
543	2020	1693
544	2021	1687
545	2023	1682
546	2026	1677
547	2027	1672
548	2031	1668
549	2034	1664
550	2036	1659
551	2038	1654
552	2040	1649
553	2042	1644
